"","order","family","genus","species","adultbodymass","adultforearmlen","adultheadbodylen","basalmetrate","basalmetratemass","dietbreadth","homerange","terrestriality","weaningage"
"Amblysomus_corriae","Afrosoricida","Chrysochloridae","Amblysomus","corriae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblysomus_hottentotus","Afrosoricida","Chrysochloridae","Amblysomus","hottentotus",4.13676527810605,NA,4.79983195486665,4.43911560165801,4.24849524204936,2,0.000334,1,NA
"Amblysomus_marleyi","Afrosoricida","Chrysochloridae","Amblysomus","marleyi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblysomus_robustus","Afrosoricida","Chrysochloridae","Amblysomus","robustus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amblysomus_septentrionalis","Afrosoricida","Chrysochloridae","Amblysomus","septentrionalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calcochloris_leucorhinus","Afrosoricida","Chrysochloridae","Calcochloris","leucorhinus",NA,NA,NA,NA,NA,1,NA,NA,NA
"Calcochloris_obtusirostris","Afrosoricida","Chrysochloridae","Calcochloris","obtusirostris",3.18013499655177,NA,4.61353510231972,NA,NA,1,NA,1,NA
"Calcochloris_tytonis","Afrosoricida","Chrysochloridae","Calcochloris","tytonis",NA,NA,NA,NA,NA,1,NA,NA,NA
"Carpitalpa_arendsi","Afrosoricida","Chrysochloridae","Carpitalpa","arendsi",3.957760897102,NA,4.81842500455193,NA,NA,1,NA,1,NA
"Chlorotalpa_duthieae","Afrosoricida","Chrysochloridae","Chlorotalpa","duthieae",NA,NA,4.60856441905611,NA,NA,1,NA,NA,NA
"Chlorotalpa_sclateri","Afrosoricida","Chrysochloridae","Chlorotalpa","sclateri",3.6454498961866,NA,4.60517018598809,NA,NA,1,NA,NA,NA
"Chrysochloris_asiatica","Afrosoricida","Chrysochloridae","Chrysochloris","asiatica",3.61523291394564,NA,4.66814498514948,3.70868208141012,3.52636052461616,2,NA,1,74.43
"Chrysochloris_stuhlmanni","Afrosoricida","Chrysochloridae","Chrysochloris","stuhlmanni",4.02105676645227,NA,4.86089708719832,NA,NA,1,NA,1,70.72
"Chrysochloris_visagiei","Afrosoricida","Chrysochloridae","Chrysochloris","visagiei",NA,NA,4.66343909411207,NA,NA,1,NA,NA,NA
"Chrysospalax_trevelyani","Afrosoricida","Chrysochloridae","Chrysospalax","trevelyani",6.07313669575201,NA,5.45933016239574,NA,NA,2,0.000603,1,NA
"Chrysospalax_villosus","Afrosoricida","Chrysochloridae","Chrysospalax","villosus",4.68536672798237,NA,5.01063529409626,NA,NA,1,NA,1,NA
"Cryptochloris_wintoni","Afrosoricida","Chrysochloridae","Cryptochloris","wintoni",NA,NA,4.49969855304586,NA,NA,2,NA,1,NA
"Cryptochloris_zyli","Afrosoricida","Chrysochloridae","Cryptochloris","zyli",NA,NA,4.44088499168024,NA,NA,1,NA,1,NA
"Echinops_telfairi","Afrosoricida","Tenrecidae","Echinops","telfairi",5.02552390659001,NA,5.07517381523383,4.8967944776725,4.75703253529734,1,NA,2,31.18
"Eremitalpa_granti","Afrosoricida","Chrysochloridae","Eremitalpa","granti",3.09285898428471,NA,4.3309964635611,2.73371794785079,3.26193531432865,3,0.03,1,NA
"Geogale_aurita","Afrosoricida","Tenrecidae","Geogale","aurita",1.90061387414014,NA,4.26267987704132,2.04381436403668,1.93152141160321,1,NA,1,34.86
"Hemicentetes_nigriceps","Afrosoricida","Tenrecidae","Hemicentetes","nigriceps",4.63463189613771,NA,NA,4.28289666876669,4.62399194022868,1,NA,NA,22.71
"Hemicentetes_semispinosus","Afrosoricida","Tenrecidae","Hemicentetes","semispinosus",4.89783979995091,NA,5.16478597392351,4.16044436392662,4.89034912822175,1,NA,1,21.5
"Limnogale_mergulus","Afrosoricida","Tenrecidae","Limnogale","mergulus",4.3419855851367,NA,4.9766647745251,4.28096243218686,4.3528552573736,2,NA,1,NA
"Microgale_brevicaudata","Afrosoricida","Tenrecidae","Microgale","brevicaudata",2.19611284848353,NA,NA,NA,NA,1,NA,1,NA
"Microgale_cowani","Afrosoricida","Tenrecidae","Microgale","cowani",2.50715725872282,NA,4.094177881665,NA,NA,NA,NA,1,NA
"Microgale_dobsoni","Afrosoricida","Tenrecidae","Microgale","dobsoni",3.60168624241156,NA,NA,3.73576304001279,3.79773385902602,1,NA,1,27.87
"Microgale_drouhardi","Afrosoricida","Tenrecidae","Microgale","drouhardi",2.35137525716348,NA,4.29714934254078,NA,NA,NA,NA,NA,NA
"Microgale_dryas","Afrosoricida","Tenrecidae","Microgale","dryas",3.68887945411394,NA,NA,NA,NA,NA,NA,NA,NA
"Microgale_fotsifotsy","Afrosoricida","Tenrecidae","Microgale","fotsifotsy",2.04122032885964,NA,4.28289666876669,NA,NA,NA,NA,NA,NA
"Microgale_gracilis","Afrosoricida","Tenrecidae","Microgale","gracilis",3.14845336057165,NA,NA,NA,NA,NA,NA,1,NA
"Microgale_gymnorhyncha","Afrosoricida","Tenrecidae","Microgale","gymnorhyncha",2.90142159408275,NA,NA,NA,NA,NA,NA,NA,NA
"Microgale_longicaudata","Afrosoricida","Tenrecidae","Microgale","longicaudata",2.089391872533,NA,NA,NA,NA,1,NA,2,NA
"Microgale_monticola","Afrosoricida","Tenrecidae","Microgale","monticola",2.63188884013665,NA,NA,NA,NA,NA,NA,NA,NA
"Microgale_nasoloi","Afrosoricida","Tenrecidae","Microgale","nasoloi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microgale_parvula","Afrosoricida","Tenrecidae","Microgale","parvula",1.26129787094521,NA,4.03953632572711,NA,NA,NA,NA,2,NA
"Microgale_principula","Afrosoricida","Tenrecidae","Microgale","principula",2.32238772029023,NA,NA,NA,NA,NA,NA,NA,NA
"Microgale_pusilla","Afrosoricida","Tenrecidae","Microgale","pusilla",1.22377543162212,NA,3.95124371858143,NA,NA,NA,NA,2,NA
"Microgale_soricoides","Afrosoricida","Tenrecidae","Microgale","soricoides",2.92852352386054,NA,NA,NA,NA,NA,NA,NA,NA
"Microgale_taiva","Afrosoricida","Tenrecidae","Microgale","taiva",2.51769647261099,NA,NA,NA,NA,NA,NA,NA,NA
"Microgale_talazaci","Afrosoricida","Tenrecidae","Microgale","talazaci",3.76282669906602,NA,5.01063529409626,3.77413929806476,3.78418963391826,1,NA,2,29.38
"Microgale_thomasi","Afrosoricida","Tenrecidae","Microgale","thomasi",3.13113691056019,NA,NA,NA,NA,NA,NA,1,NA
"Micropotamogale_lamottei","Afrosoricida","Tenrecidae","Micropotamogale","lamottei",4.24262087885676,NA,5.07517381523383,NA,NA,2,NA,2,NA
"Micropotamogale_ruwenzorii","Afrosoricida","Tenrecidae","Micropotamogale","ruwenzorii",4.692539832125,NA,5.07517381523383,NA,NA,2,NA,1,NA
"Neamblysomus_gunningi","Afrosoricida","Chrysochloridae","Neamblysomus","gunningi",NA,NA,4.81842500455193,NA,NA,1,NA,1,NA
"Neamblysomus_julianae","Afrosoricida","Chrysochloridae","Neamblysomus","julianae",3.09058780456667,NA,4.61353510231972,NA,NA,1,NA,1,NA
"Oryzorictes_hova","Afrosoricida","Tenrecidae","Oryzorictes","hova",3.57627050973128,NA,4.63792775022626,4.2297491992283,3.79323946943818,NA,NA,1,NA
"Oryzorictes_tetradactylus","Afrosoricida","Tenrecidae","Oryzorictes","tetradactylus",3.58324112209094,NA,4.67749084756772,NA,NA,NA,NA,NA,NA
"Potamogale_velox","Afrosoricida","Tenrecidae","Potamogale","velox",6.50875423373097,NA,5.76832099579377,NA,NA,2,NA,1,NA
"Setifer_setosus","Afrosoricida","Tenrecidae","Setifer","setosus",5.57299018440618,NA,5.22035582507832,4.54955176222508,5.86505062225232,2,NA,1,25.22
"Tenrec_ecaudatus","Afrosoricida","Tenrecidae","Tenrec","ecaudatus",6.78850992465879,NA,5.79148805507531,5.6605965772066,7.18916773842032,3,NA,1,21.87
"Addax_nasomaculatus","Artiodactyla","Bovidae","Addax","nasomaculatus",11.4729089792739,NA,NA,NA,NA,5,NA,1,NA
"Aepyceros_melampus","Artiodactyla","Bovidae","Aepyceros","melampus",10.870313401454,NA,7.25841215059531,NA,NA,2,1.97,1,150
"Alcelaphus_buselaphus","Artiodactyla","Bovidae","Alcelaphus","buselaphus",11.9887736067309,NA,7.58831861403126,NA,NA,2,2.73,1,188.73
"Alcelaphus_caama","Artiodactyla","Bovidae","Alcelaphus","caama",12.0788979774821,NA,NA,NA,NA,NA,NA,NA,NA
"Alcelaphus_lichtensteinii","Artiodactyla","Bovidae","Alcelaphus","lichtensteinii",12.0358515420621,NA,NA,NA,NA,3,4.41,1,NA
"Alces_alces","Artiodactyla","Cervidae","Alces","alces",13.0431053417951,NA,7.98291809870319,NA,NA,1,71.75,1,98.85
"Alces_americanus","Artiodactyla","Cervidae","Alces","americanus",13.2020252864294,NA,7.6483393274667,NA,NA,2,NA,NA,182.5
"Ammodorcas_clarkei","Artiodactyla","Bovidae","Ammodorcas","clarkei",10.2417371373094,NA,7.31983843939188,NA,NA,NA,NA,1,NA
"Ammotragus_lervia","Artiodactyla","Bovidae","Ammotragus","lervia",11.4531990271657,NA,7.27931193883911,NA,NA,2,7.06,1,121.66
"Antidorcas_marsupialis","Artiodactyla","Bovidae","Antidorcas","marsupialis",10.4214250270339,NA,6.96129604591017,NA,NA,2,NA,1,57.45
"Antilocapra_americana","Artiodactyla","Antilocapridae","Antilocapra","americana",10.7674320147862,NA,7.1777824161952,9.10052550596898,10.3734911817819,2,8.05,1,87.54
"Antilope_cervicapra","Artiodactyla","Bovidae","Antilope","cervicapra",10.4996033228241,NA,7.13089883029635,NA,NA,5,0.62,1,59.5
"Axis_axis","Artiodactyla","Cervidae","Axis","axis",11.149081887668,NA,NA,NA,NA,NA,0.67,NA,121.66
"Axis_calamianensis","Artiodactyla","Cervidae","Axis","calamianensis",10.5919387240853,NA,7.23521560144233,NA,NA,NA,NA,NA,NA
"Axis_kuhlii","Artiodactyla","Cervidae","Axis","kuhlii",10.9150882823964,NA,7.22620901010067,NA,NA,2,NA,NA,NA
"Axis_porcinus","Artiodactyla","Cervidae","Axis","porcinus",10.5307163270217,NA,NA,NA,NA,3,0.52,NA,NA
"Babyrousa_babyrussa","Artiodactyla","Suidae","Babyrousa","babyrussa",11.4398179614116,NA,6.85646198459459,NA,NA,6,NA,1,212.91
"Babyrousa_bolabatuensis","Artiodactyla","Suidae","Babyrousa","bolabatuensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyrousa_celebensis","Artiodactyla","Suidae","Babyrousa","celebensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Babyrousa_togeanensis","Artiodactyla","Suidae","Babyrousa","togeanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beatragus_hunteri","Artiodactyla","Bovidae","Beatragus","hunteri",11.2788747714548,NA,7.37775890822787,NA,NA,1,NA,1,NA
"Bison_bison","Artiodactyla","Bovidae","Bison","bison",13.3448300116619,NA,7.95480757103415,NA,NA,2,47.39,1,287.32
"Bison_bonasus","Artiodactyla","Bovidae","Bison","bonasus",13.4237659419391,NA,7.97246601597457,NA,NA,2,7.91,1,287.32
"Blastocerus_dichotomus","Artiodactyla","Cervidae","Blastocerus","dichotomus",11.6308731981743,NA,7.4500795698075,NA,NA,3,NA,1,NA
"Bos_frontalis","Artiodactyla","Bovidae","Bos","frontalis",13.592545803165,NA,7.90100705199242,NA,NA,3,NA,NA,186.67
"Bos_grunniens","Artiodactyla","Bovidae","Bos","grunniens",13.1223633774043,NA,NA,NA,NA,2,NA,NA,243.33
"Bos_javanicus","Artiodactyla","Bovidae","Bos","javanicus",13.3629134955964,NA,7.6377164326648,NA,NA,2,NA,1,287.74
"Bos_sauveli","Artiodactyla","Bovidae","Bos","sauveli",13.5814599402714,NA,7.68478394352278,NA,NA,2,NA,1,NA
"Bos_taurus","Artiodactyla","Bovidae","Bos","taurus",13.3352827110818,NA,NA,NA,NA,NA,10.04,NA,NA
"Boselaphus_tragocamelus","Artiodactyla","Bovidae","Boselaphus","tragocamelus",12.1131513301159,NA,7.60090245954208,NA,NA,5,NA,NA,NA
"Bubalus_bubalis","Artiodactyla","Bovidae","Bubalus","bubalis",13.7424031297149,NA,7.8821337704984,NA,NA,2,3.63,1,240.31
"Bubalus_depressicornis","Artiodactyla","Bovidae","Bubalus","depressicornis",12.456789612033,NA,7.45505554119491,NA,NA,3,NA,1,NA
"Bubalus_mindorensis","Artiodactyla","Bovidae","Bubalus","mindorensis",12.4466227794461,NA,7.69620809388153,NA,NA,2,NA,1,NA
"Bubalus_quarlesi","Artiodactyla","Bovidae","Bubalus","quarlesi",12.110216046466,NA,7.36389448981826,NA,NA,3,NA,NA,NA
"Budorcas_taxicolor","Artiodactyla","Bovidae","Budorcas","taxicolor",12.5930863350484,NA,7.4593388952203,NA,NA,3,NA,1,118.55
"Camelus_bactrianus","Artiodactyla","Camelidae","Camelus","bactrianus",13.2258507778767,NA,NA,NA,NA,2,NA,1,368.13
"Camelus_dromedarius","Artiodactyla","Camelidae","Camelus","dromedarius",13.1076851168851,NA,NA,10.6039330355772,12.9165684644247,3,196.32,1,389.38
"Capra_caucasica","Artiodactyla","Bovidae","Capra","caucasica",10.9707729033986,NA,NA,NA,NA,NA,NA,NA,NA
"Capra_falconeri","Artiodactyla","Bovidae","Capra","falconeri",10.9023415666113,NA,7.37148929521428,NA,NA,2,NA,1,167.29
"Capra_hircus","Artiodactyla","Bovidae","Capra","hircus",10.7660920238986,NA,NA,NA,NA,2,98.3,NA,158.04
"Capra_ibex","Artiodactyla","Bovidae","Capra","ibex",11.1497556175925,NA,NA,NA,NA,2,NA,1,111.75
"Capra_nubiana","Artiodactyla","Bovidae","Capra","nubiana",10.7740216344805,NA,NA,NA,NA,NA,NA,NA,NA
"Capra_pyrenaica","Artiodactyla","Bovidae","Capra","pyrenaica",11.0169682564497,NA,7.09007683577609,NA,NA,2,0.64,NA,NA
"Capra_sibirica","Artiodactyla","Bovidae","Capra","sibirica",11.7752897294377,NA,NA,NA,NA,NA,NA,NA,NA
"Capra_walie","Artiodactyla","Bovidae","Capra","walie",11.5143646288769,NA,NA,NA,NA,NA,NA,1,NA
"Capreolus_capreolus","Artiodactyla","Cervidae","Capreolus","capreolus",10.0213599175359,NA,NA,11.2704716651215,12.1547793511426,NA,0.52,1,79.75
"Capreolus_pygargus","Artiodactyla","Cervidae","Capreolus","pygargus",10.6303361564141,NA,7.18538701558042,NA,NA,NA,0.99,1,136.1
"Capricornis_crispus","Artiodactyla","Bovidae","Capricornis","crispus",10.6696676990662,NA,NA,NA,NA,NA,0.11,NA,59.27
"Capricornis_milneedwardsii","Artiodactyla","Bovidae","Capricornis","milneedwardsii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capricornis_rubidus","Artiodactyla","Bovidae","Capricornis","rubidus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capricornis_sumatraensis","Artiodactyla","Bovidae","Capricornis","sumatraensis",11.6167648042257,NA,7.27931193883911,NA,NA,2,NA,NA,166.34
"Capricornis_swinhoei","Artiodactyla","Bovidae","Capricornis","swinhoei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capricornis_thar","Artiodactyla","Bovidae","Capricornis","thar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Catagonus_wagneri","Artiodactyla","Tayassuidae","Catagonus","wagneri",10.4791566509366,4.94584785309182,6.93335479728235,NA,NA,6,7,1,60.37
"Cephalophus_adersi","Artiodactyla","Bovidae","Cephalophus","adersi",9.13237342508646,NA,6.5366915975913,NA,NA,4,NA,1,NA
"Cephalophus_brookei","Artiodactyla","Bovidae","Cephalophus","brookei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus_callipygus","Artiodactyla","Bovidae","Cephalophus","callipygus",9.85635558779381,NA,6.92193428015541,NA,NA,3,0.32,1,NA
"Cephalophus_dorsalis","Artiodactyla","Bovidae","Cephalophus","dorsalis",9.90348755253613,NA,6.74522458470928,NA,NA,4,0.27,1,NA
"Cephalophus_jentinki","Artiodactyla","Bovidae","Cephalophus","jentinki",11.1344363118604,NA,7.20785246399763,NA,NA,4,NA,NA,NA
"Cephalophus_leucogaster","Artiodactyla","Bovidae","Cephalophus","leucogaster",9.48863022530147,NA,6.84515620922561,NA,NA,5,NA,1,NA
"Cephalophus_natalensis","Artiodactyla","Bovidae","Cephalophus","natalensis",9.45128533380109,NA,6.66713489361659,NA,NA,4,0.06,1,NA
"Cephalophus_niger","Artiodactyla","Bovidae","Cephalophus","niger",9.85714618760891,NA,6.94870526531109,NA,NA,7,NA,1,89.49
"Cephalophus_nigrifrons","Artiodactyla","Bovidae","Cephalophus","nigrifrons",9.5939912709133,NA,6.85034859903259,NA,NA,4,NA,1,NA
"Cephalophus_ogilbyi","Artiodactyla","Bovidae","Cephalophus","ogilbyi",9.81936762763065,NA,6.90775527898214,NA,NA,NA,0.07,NA,NA
"Cephalophus_rufilatus","Artiodactyla","Bovidae","Cephalophus","rufilatus",9.40216413943047,NA,6.47697236288968,NA,NA,5,NA,1,85.59
"Cephalophus_silvicultor","Artiodactyla","Bovidae","Cephalophus","silvicultor",11.0349961099746,NA,7.18898658993846,NA,NA,5,NA,1,34.9
"Cephalophus_spadix","Artiodactyla","Bovidae","Cephalophus","spadix",10.9482949744049,NA,7.06858077543121,NA,NA,3,NA,1,NA
"Cephalophus_weynsi","Artiodactyla","Bovidae","Cephalophus","weynsi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalophus_zebra","Artiodactyla","Bovidae","Cephalophus","zebra",9.65852966429413,NA,6.77421245772088,NA,NA,3,NA,1,13.64
"Cervus_elaphus","Artiodactyla","Cervidae","Cervus","elaphus",12.3920007326349,NA,7.66702722193352,NA,NA,5,58.42,1,104.64
"Cervus_nippon","Artiodactyla","Cervidae","Cervus","nippon",10.878047003855,NA,7.09050174548917,NA,NA,2,1.43,1,197.7
"Connochaetes_gnou","Artiodactyla","Bovidae","Connochaetes","gnou",11.9611149489233,NA,7.50757481321891,NA,NA,2,0.95,1,111.57
"Connochaetes_taurinus","Artiodactyla","Bovidae","Connochaetes","taurinus",12.1991471193393,NA,7.60836951158931,10.1833894376689,11.4075649493124,1,NA,1,256.32
"Dama_dama","Artiodactyla","Cervidae","Dama","dama",10.9547393295944,NA,NA,NA,NA,2,0.71,1,177.63
"Damaliscus_korrigum","Artiodactyla","Bovidae","Damaliscus","korrigum",11.7534755988862,NA,NA,NA,NA,NA,NA,NA,NA
"Damaliscus_lunatus","Artiodactyla","Bovidae","Damaliscus","lunatus",11.8204125911858,NA,7.43838353004431,NA,NA,1,NA,1,NA
"Damaliscus_pygargus","Artiodactyla","Bovidae","Damaliscus","pygargus",11.2616981043274,NA,NA,NA,NA,NA,NA,NA,121.66
"Damaliscus_superstes","Artiodactyla","Bovidae","Damaliscus","superstes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorcatragus_megalotis","Artiodactyla","Bovidae","Dorcatragus","megalotis",9.2981790733053,NA,6.65926827832926,NA,NA,3,NA,1,NA
"Elaphodus_cephalophus","Artiodactyla","Cervidae","Elaphodus","cephalophus",10.0470626503672,NA,NA,NA,NA,NA,NA,NA,NA
"Elaphurus_davidianus","Artiodactyla","Cervidae","Elaphurus","davidianus",12.0196778242465,NA,NA,NA,NA,2,NA,1,155.59
"Eudorcas_rufifrons","Artiodactyla","Bovidae","Eudorcas","rufifrons",10.2035836264317,NA,6.78558764500793,NA,NA,NA,NA,1,NA
"Eudorcas_rufina","Artiodactyla","Bovidae","Eudorcas","rufina",10.596634483096,NA,NA,NA,NA,NA,NA,NA,NA
"Eudorcas_thomsonii","Artiodactyla","Bovidae","Eudorcas","thomsonii",10.0392165910669,NA,6.78558764500793,NA,NA,2,NA,1,93.25
"Gazella_arabica","Artiodactyla","Bovidae","Gazella","arabica",10.0909902473572,NA,6.90775527898214,NA,NA,2,NA,NA,NA
"Gazella_bennettii","Artiodactyla","Bovidae","Gazella","bennettii",9.84779882288698,NA,NA,NA,NA,NA,NA,NA,NA
"Gazella_cuvieri","Artiodactyla","Bovidae","Gazella","cuvieri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gazella_dorcas","Artiodactyla","Bovidae","Gazella","dorcas",9.65732802915895,NA,6.87283251639287,NA,NA,6,15.52,1,61.35
"Gazella_erlangeri","Artiodactyla","Bovidae","Gazella","erlangeri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gazella_gazella","Artiodactyla","Bovidae","Gazella","gazella",9.96678295757495,NA,6.92052341825982,NA,NA,3,1.46,1,86.17
"Gazella_leptoceros","Artiodactyla","Bovidae","Gazella","leptoceros",10.1123597508128,NA,6.93990296019246,NA,NA,2,NA,1,NA
"Gazella_saudiya","Artiodactyla","Bovidae","Gazella","saudiya",9.68034400122192,NA,NA,NA,NA,NA,NA,NA,NA
"Gazella_spekei","Artiodactyla","Bovidae","Gazella","spekei",9.90348755253613,NA,6.78558764500793,NA,NA,NA,NA,1,NA
"Gazella_subgutturosa","Artiodactyla","Bovidae","Gazella","subgutturosa",10.2029019068269,NA,6.86416905081921,NA,NA,3,NA,1,116.41
"Giraffa_camelopardalis","Artiodactyla","Giraffidae","Giraffa","camelopardalis",13.7795255235519,NA,8.33735574665956,NA,NA,5,81.52,1,212.91
"Hemitragus_hylocrius","Artiodactyla","Bovidae","Hemitragus","hylocrius",11.214336258742,NA,7.23345541862144,NA,NA,2,NA,1,27.28
"Hemitragus_jayakari","Artiodactyla","Bovidae","Hemitragus","jayakari",10.0083060213131,NA,6.98007594056176,NA,NA,3,NA,1,NA
"Hemitragus_jemlahicus","Artiodactyla","Bovidae","Hemitragus","jemlahicus",11.1362872894106,NA,NA,NA,NA,2,NA,NA,NA
"Hexaprotodon_liberiensis","Artiodactyla","Hippopotamidae","Hexaprotodon","liberiensis",12.3673457292843,NA,7.37775890822787,NA,NA,4,0.72,1,211.71
"Hippocamelus_antisensis","Artiodactyla","Cervidae","Hippocamelus","antisensis",11.1360383384504,NA,7.34601020991329,NA,NA,2,NA,1,NA
"Hippocamelus_bisulcus","Artiodactyla","Cervidae","Hippocamelus","bisulcus",11.1453457076619,NA,7.34601020991329,NA,NA,2,0.86,1,NA
"Hippopotamus_amphibius","Artiodactyla","Hippopotamidae","Hippopotamus","amphibius",14.244894255607,NA,NA,NA,NA,2,NA,1,319.01
"Hippotragus_equinus","Artiodactyla","Bovidae","Hippotragus","equinus",12.4843631045172,NA,7.0475172213573,NA,NA,5,NA,1,119.27
"Hippotragus_leucophaeus","Artiodactyla","Bovidae","Hippotragus","leucophaeus",11.9183905064117,NA,NA,NA,NA,NA,NA,NA,NA
"Hippotragus_niger","Artiodactyla","Bovidae","Hippotragus","niger",12.3733055219015,NA,7.6182510978767,NA,NA,5,NA,1,210.73
"Hydropotes_inermis","Artiodactyla","Cervidae","Hydropotes","inermis",9.45407369169011,NA,NA,NA,NA,NA,NA,NA,NA
"Hyemoschus_aquaticus","Artiodactyla","Tragulidae","Hyemoschus","aquaticus",9.29192035896861,NA,6.62007320653036,NA,NA,1,0.2,1,136.87
"Hylochoerus_meinertzhageni","Artiodactyla","Suidae","Hylochoerus","meinertzhageni",12.1966810320654,NA,7.6151751188288,NA,NA,2,NA,1,62.82
"Kobus_ellipsiprymnus","Artiodactyla","Bovidae","Kobus","ellipsiprymnus",12.2278022385642,NA,NA,10.1924188443883,11.5129254649702,2,1.28,1,212.91
"Kobus_kob","Artiodactyla","Bovidae","Kobus","kob",11.2902219418294,NA,7.43838353004431,NA,NA,1,99.57,1,188.64
"Kobus_leche","Artiodactyla","Bovidae","Kobus","leche",11.3923953595705,NA,NA,NA,NA,2,NA,1,133.45
"Kobus_megaceros","Artiodactyla","Bovidae","Kobus","megaceros",11.3598433973069,NA,NA,NA,NA,NA,NA,NA,NA
"Kobus_vardonii","Artiodactyla","Bovidae","Kobus","vardonii",11.1769311941052,NA,7.20042489294496,NA,NA,2,NA,1,212.91
"Lama_glama","Artiodactyla","Camelidae","Lama","glama",11.2685923675324,NA,7.3746917091784,NA,NA,2,NA,1,131.7
"Litocranius_walleri","Artiodactyla","Bovidae","Litocranius","walleri",10.5662881481352,NA,7.3132203870903,NA,NA,1,NA,1,NA
"Madoqua_guentheri","Artiodactyla","Bovidae","Madoqua","guentheri",8.43895052935475,NA,6.4168466550565,NA,NA,6,0.03,1,74.25
"Madoqua_kirkii","Artiodactyla","Bovidae","Madoqua","kirkii",8.48330543274888,NA,6.48352011029724,7.67089483136212,8.36404201192206,5,NA,1,42.58
"Madoqua_piacentinii","Artiodactyla","Bovidae","Madoqua","piacentinii",7.82404601085629,NA,NA,NA,NA,2,NA,NA,NA
"Madoqua_saltiana","Artiodactyla","Bovidae","Madoqua","saltiana",8.13870199419661,NA,6.38856140554563,NA,NA,2,NA,NA,41.99
"Mazama_americana","Artiodactyla","Cervidae","Mazama","americana",9.93046341019604,NA,NA,NA,NA,2,NA,1,NA
"Mazama_bororo","Artiodactyla","Cervidae","Mazama","bororo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama_bricenii","Artiodactyla","Cervidae","Mazama","bricenii",9.71110656893826,NA,NA,NA,NA,NA,NA,1,NA
"Mazama_chunyi","Artiodactyla","Cervidae","Mazama","chunyi",9.68481772916133,NA,NA,NA,NA,NA,NA,1,NA
"Mazama_gouazoubira","Artiodactyla","Cervidae","Mazama","gouazoubira",9.71915417338401,NA,6.82246968469978,NA,NA,2,NA,1,NA
"Mazama_nana","Artiodactyla","Cervidae","Mazama","nana",9.71110656893826,NA,NA,NA,NA,NA,NA,1,NA
"Mazama_pandora","Artiodactyla","Cervidae","Mazama","pandora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama_rufina","Artiodactyla","Cervidae","Mazama","rufina",9.95699277380872,NA,NA,NA,NA,NA,NA,1,NA
"Mazama_temama","Artiodactyla","Cervidae","Mazama","temama",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschiola_meminna","Artiodactyla","Tragulidae","Moschiola","meminna",8.04909175186003,NA,6.29156913955832,NA,NA,NA,NA,NA,NA
"Moschus_anhuiensis","Artiodactyla","Moschidae","Moschus","anhuiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus_berezovskii","Artiodactyla","Moschidae","Moschus","berezovskii",9.43167508833438,NA,6.80238365215147,NA,NA,2,0.13,NA,47.14
"Moschus_chrysogaster","Artiodactyla","Moschidae","Moschus","chrysogaster",9.52499781539539,NA,6.80238365215147,NA,NA,2,0.13,NA,47.14
"Moschus_cupreus","Artiodactyla","Moschidae","Moschus","cupreus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus_fuscus","Artiodactyla","Moschidae","Moschus","fuscus",9.52499781539539,NA,6.80238365215147,NA,NA,2,0.13,NA,47.14
"Moschus_leucogaster","Artiodactyla","Moschidae","Moschus","leucogaster",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus_moschiferus","Artiodactyla","Moschidae","Moschus","moschiferus",9.49668930619394,NA,6.80238365215147,NA,NA,3,0.13,NA,47.14
"Muntiacus_atherodes","Artiodactyla","Cervidae","Muntiacus","atherodes",9.84898384713162,NA,6.90273268685683,NA,NA,2,NA,NA,NA
"Muntiacus_crinifrons","Artiodactyla","Cervidae","Muntiacus","crinifrons",9.83037961863896,NA,NA,NA,NA,4,NA,NA,NA
"Muntiacus_feae","Artiodactyla","Cervidae","Muntiacus","feae",9.99879727779489,NA,NA,NA,NA,4,NA,NA,NA
"Muntiacus_gongshanensis","Artiodactyla","Cervidae","Muntiacus","gongshanensis",9.83037961863896,NA,NA,NA,NA,4,NA,NA,NA
